Playlist Title,Playlist ID,Video Title,Embed URL
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 70 [Việt sub],https://www.youtube.com/embed/9jBJzT7DJ04
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 69 [Việt sub],https://www.youtube.com/embed/M-qJwnSf2As
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 68 [Việt sub],https://www.youtube.com/embed/xSmsrE4IglA
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 67 [Việt sub],https://www.youtube.com/embed/QegKOHl7qxc
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 66 [Việt sub],https://www.youtube.com/embed/Qq4T8Hzk2FQ
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 65 [Việt sub],https://www.youtube.com/embed/_BOVrEyDyQU
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 64 [Việt sub],https://www.youtube.com/embed/lsBNL9dUYSI
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 63 [Việt sub],https://www.youtube.com/embed/vm8abx7C9iA
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 62 [Việt sub],https://www.youtube.com/embed/JCks9nbPdZU
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 61 [Việt sub],https://www.youtube.com/embed/-TfROFNTBzQ
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 60 [Việt sub],https://www.youtube.com/embed/3wuWwSp4sF8
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 59 [Việt sub],https://www.youtube.com/embed/VFypCCuEf08
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 58 [Việt sub],https://www.youtube.com/embed/AWTWp6PkiQA
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 57 [Việt sub],https://www.youtube.com/embed/HerAynnoSyI
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 56 [Việt sub],https://www.youtube.com/embed/OTk96uwhSU0
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 55 [Việt sub],https://www.youtube.com/embed/6jJmrT6s5iQ
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 54 [Việt sub],https://www.youtube.com/embed/j9FAhBCGNMU
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 53 [Việt sub],https://www.youtube.com/embed/91UrymqyYNM
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 52 [Việt sub],https://www.youtube.com/embed/BtKajz7_XGk
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 51 [Việt sub],https://www.youtube.com/embed/g9kGeeNAWTc
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 50 [Việt sub],https://www.youtube.com/embed/QO7XINaN1o0
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S3 - Tập 49 [Việt sub],https://www.youtube.com/embed/iWi_dWY8-Qk
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 48 [Việt sub],https://www.youtube.com/embed/CfWY2OsxjHI
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 47 [Việt sub],https://www.youtube.com/embed/qcLL1bjxOCs
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 46 [Việt sub],https://www.youtube.com/embed/_Vs6MQ71jAg
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 45 [Việt sub],https://www.youtube.com/embed/uWpEoNdDUDk
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 44 [Việt sub],https://www.youtube.com/embed/NrTjlygytIg
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 43 [Việt sub],https://www.youtube.com/embed/9s6ZMDTE0rY
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 42 [Việt sub],https://www.youtube.com/embed/RnNvIaXdjvc
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 41 [Việt sub],https://www.youtube.com/embed/-KaYA-oVvPo
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 40 [Việt sub],https://www.youtube.com/embed/ihPKKqHXpjo
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 39 [Việt sub],https://www.youtube.com/embed/fg_fY2Yw5Tg
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 38 [Việt sub],https://www.youtube.com/embed/OQOXTrCh1mw
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 37 [Việt sub],https://www.youtube.com/embed/BDKHMRPxcM4
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 36 [Việt sub],https://www.youtube.com/embed/ZQpwqVafVO8
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 35 [Việt sub],https://www.youtube.com/embed/h1gJWrmoJoI
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 34 [Việt sub],https://www.youtube.com/embed/srNdnQg9D9s
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 33 [Việt sub],https://www.youtube.com/embed/DRK2xV2SR2U
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 32 [Việt sub],https://www.youtube.com/embed/HHzbKh9n2LQ
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 31 [Việt sub],https://www.youtube.com/embed/Z8aOLgZaN3Q
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 30 [Việt sub],https://www.youtube.com/embed/lN2UurvCovs
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 29 [Việt sub],https://www.youtube.com/embed/Yn2qj60TXdQ
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 28 [Việt sub],https://www.youtube.com/embed/5KBnvMoTAGU
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 27 [Việt sub],https://www.youtube.com/embed/n8VoR5iGz7g
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 26 [Việt sub],https://www.youtube.com/embed/JrILcLtucHU
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime S2 - Tập 25 [Việt sub],https://www.youtube.com/embed/9xCo9Xzq6-U
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 24 [Việt sub],https://www.youtube.com/embed/3-OsoeS79ZQ
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 23 [Việt sub],https://www.youtube.com/embed/N9dBodKE-4Y
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 22 [Việt sub],https://www.youtube.com/embed/LQzD4cF8rg0
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 21 [Việt sub],https://www.youtube.com/embed/ujSjimXx_xE
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 20 [Việt sub],https://www.youtube.com/embed/63xkvIR9vI0
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 19 [Việt sub],https://www.youtube.com/embed/qWRhWBFnTo0
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 18 [Việt sub],https://www.youtube.com/embed/ZnlwclnXzGw
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 17 [Việt sub],https://www.youtube.com/embed/SeOIpxcwb7U
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 16 [Việt sub],https://www.youtube.com/embed/2AuazjM6gMU
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 15 [Việt sub],https://www.youtube.com/embed/g5Nat1Llfi8
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 14 [Việt sub],https://www.youtube.com/embed/Ik9r39sUtQM
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 13 [Việt sub],https://www.youtube.com/embed/iry712JcyDc
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 12 [Việt sub],https://www.youtube.com/embed/neT8j51S5sk
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 11 [Việt sub],https://www.youtube.com/embed/t7KWgHonKXw
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 10 [Việt sub],https://www.youtube.com/embed/61mXFvOm-vM
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 09 [Việt sub],https://www.youtube.com/embed/ewsCgp4Nys8
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 08 [Việt sub],https://www.youtube.com/embed/9uQhG0ZbcNw
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 07 [Việt sub],https://www.youtube.com/embed/kSfwBH62Qb0
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 06 [Việt sub],https://www.youtube.com/embed/GhWSANfpSvo
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 05 [Việt sub],https://www.youtube.com/embed/JKwzhxWYZsI
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 04 [Việt sub],https://www.youtube.com/embed/ogUekOFl4p8
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 03 [Việt sub],https://www.youtube.com/embed/wXx2i1XSJEU
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 02 [Việt sub],https://www.youtube.com/embed/Cyxdo35SSko
No title,PLdM751AKK4aOpbYI5IXcoVBg8tmJemvJx,Lúc đó tôi đã chuyển sinh thành Slime - Tập 01 [Việt sub],https://www.youtube.com/embed/w7NnkdfNO9o
No title,PLdM751AKK4aPy3igTTV6PmhIyFskbEQjv,Vào Ma Giới rồi đấy! Iruma-kun - Tập 01 [Việt sub],https://www.youtube.com/embed/Ty_0DsmkVGY
No title,PLdM751AKK4aPy3igTTV6PmhIyFskbEQjv,Vào Ma Giới rồi đấy! Iruma-kun - Tập 02 [Việt sub],https://www.youtube.com/embed/Cb5dXHIygGw
No title,PLdM751AKK4aPy3igTTV6PmhIyFskbEQjv,Vào Ma Giới rồi đấy! Iruma-kun - Tập 03 [Việt sub],https://www.youtube.com/embed/zjKVYkOb2gM
No title,PLdM751AKK4aPy3igTTV6PmhIyFskbEQjv,Vào Ma Giới rồi đấy! Iruma-kun - Tập 04 [Việt sub],https://www.youtube.com/embed/AY3603q1ixw
No title,PLdM751AKK4aPy3igTTV6PmhIyFskbEQjv,Vào Ma Giới rồi đấy! Iruma-kun - Tập 05 [Việt sub],https://www.youtube.com/embed/w3IzCkwahWw
No title,PLdM751AKK4aPy3igTTV6PmhIyFskbEQjv,Vào Ma Giới rồi đấy! Iruma-kun - Tập 06 [Việt sub],https://www.youtube.com/embed/dMs5GtRa-qs
